model,feature,layer,language,accuracy,macro_f1,majority,majority_acc,n,n_classes
xlsr300m,manner,18,es_419,0.781010719754977,0.6973302165414794,0.10080183276059565,0.33690658499234305,1306,5
xlsr300m,manner,24,es_419,0.7756508422664625,0.7019186077589878,0.10080183276059565,0.33690658499234305,1306,5
xlsr300m,place,0,en_us,0.6925287356321839,0.6116195961779561,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,place,6,en_us,0.8553639846743295,0.8004010888678373,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,place,12,en_us,0.882183908045977,0.8402146311624176,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,place,18,en_us,0.9204980842911877,0.8858471363242355,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,place,24,en_us,0.8716475095785441,0.8181674963420512,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,place,0,de_de,0.7317927170868347,0.6936502120240369,0.24430641821946172,0.5784313725490197,1428,3
xlsr300m,place,6,de_de,0.7864145658263305,0.7520952672657047,0.24430641821946172,0.5784313725490197,1428,3
xlsr300m,place,12,de_de,0.8340336134453782,0.8152480755723449,0.24430641821946172,0.5784313725490197,1428,3
xlsr300m,place,18,de_de,0.8438375350140056,0.8237900039324679,0.24430641821946172,0.5784313725490197,1428,3
xlsr300m,place,24,de_de,0.8221288515406162,0.7986404880476279,0.24430641821946172,0.5784313725490197,1428,3
xlsr300m,place,0,es_419,0.7029096477794793,0.6133165343581689,0.2744744744744745,0.6998468606431854,1306,3
xlsr300m,place,6,es_419,0.8101071975497703,0.7295246761382527,0.2744744744744745,0.6998468606431854,1306,3
xlsr300m,place,12,es_419,0.8277182235834609,0.7544346988321985,0.2744744744744745,0.6998468606431854,1306,3
xlsr300m,place,18,es_419,0.830781010719755,0.760815244078326,0.2744744744744745,0.6998468606431854,1306,3
xlsr300m,place,24,es_419,0.8169984686064319,0.7420471790039747,0.2744744744744745,0.6998468606431854,1306,3
