model,feature_a,feature_b,mean_diff,ci_lo,ci_hi,n,sig
base,voicing,nasal,0.1367271474614709,0.012354193125308855,0.2461180122319554,45,True
base,voicing,manner,-0.04576876250797657,-0.13825508552611945,0.0364736102369163,45,False
base,voicing,place,0.041145282424558095,-0.05937886629186898,0.11153137455238733,45,False
base,nasal,manner,-0.18249590996944742,-0.27078989367201584,-0.0783883235068985,45,True
base,nasal,place,-0.0955818650369128,-0.16377220882828622,-0.03948689804039121,45,True
base,manner,place,0.08691404493253466,0.013804622894408643,0.15613255033074955,45,True
