model,feature,layer,train_lang,test_lang,accuracy,accuracy_std,macro_f1,macro_f1_std,majority,majority_std,majority_acc,majority_acc_std,n,n_classes,n_splits
xlsr300m,voicing,0,en_us,de_de,0.711968935587026,0.006269497826218133,0.7027500367076103,0.0063540680334580385,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr300m,voicing,0,en_us,es_419,0.6487804878048781,0.008305834466566415,0.6156853264030577,0.008369897567387628,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr300m,voicing,0,de_de,en_us,0.6846511627906977,0.008485070470430272,0.6763661358689426,0.008536662781669958,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
xlsr300m,voicing,0,de_de,es_419,0.6536585365853659,0.0075193533897085895,0.6431629194852956,0.007589547529915682,0.40324804657576224,0.0024389459408899012,0.6757381258023106,0.006853177403797035,3895,2,1
xlsr300m,voicing,0,es_419,en_us,0.6449612403100775,0.008828479163949837,0.6025036952180095,0.009005207909743558,0.37024018746338605,0.0034718443582908943,0.587906976744186,0.00875642883662027,3225,2,1
xlsr300m,voicing,0,es_419,de_de,0.7190497944266788,0.006717074650991539,0.6911424518503784,0.0069927448797988375,0.3723297491039427,0.0028340494572456814,0.5931932389218821,0.007184108488284124,4378,2,1
xlsr300m,nasal,0,en_us,de_de,0.8390227576974565,0.003574898967033676,0.7268104679049421,0.005524430312517199,0.462565762849049,0.0010006616793049108,0.8606927710843374,0.0034636290408000363,11952,2,1
xlsr300m,nasal,0,en_us,es_419,0.7822552749913525,0.0037837528998499776,0.626761178648154,0.005390454429360248,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
xlsr300m,nasal,0,de_de,en_us,0.8258042436687201,0.004080927625486615,0.645813542833805,0.007071711637361526,0.47119502925740486,0.0009290408051868059,0.8910563540953684,0.003323131987555008,8766,2,1
xlsr300m,nasal,0,de_de,es_419,0.8683846419923902,0.003133854647469405,0.6706787542724699,0.007014181747735409,0.47398107714701604,0.0007260363982629536,0.9010722933241093,0.0026249259239447633,11564,2,1
