model,feature_a,feature_b,mean_diff,ci_lo,ci_hi,n,sig
xlsr300m,voicing,nasal,0.06719434628272766,0.0046542877843810835,0.15874063747270525,45,True
xlsr300m,voicing,manner,-0.08490413841154114,-0.17574665552731844,0.04517481572267828,45,False
xlsr300m,voicing,place,-0.01621093327118606,-0.1074010673894945,0.11990709806892286,45,False
xlsr300m,nasal,manner,-0.15209848469426882,-0.23490685598480043,-0.05013208700815974,45,True
xlsr300m,nasal,place,-0.08340527955391373,-0.12967671545476622,-0.019923194716817916,45,True
xlsr300m,manner,place,0.06869320514035508,-0.06672734530912686,0.20675199667718297,45,False
