model,feature_a,feature_b,mean_diff,ci_lo,ci_hi,n,sig
xlsr53,voicing,nasal,0.11865569018427012,0.058749467382574604,0.21334584893035136,45,True
xlsr53,voicing,manner,-0.08488844347142738,-0.16701501963599577,0.03175011125462379,45,False
xlsr53,voicing,place,0.003552833749938822,-0.06952797193042956,0.12154406817028766,45,False
xlsr53,nasal,manner,-0.2035441336556975,-0.3037095354860741,-0.09846367173378122,45,True
xlsr53,nasal,place,-0.11510285643433132,-0.1719616273138889,-0.0559442221534217,45,True
xlsr53,manner,place,0.0884412772213662,-0.03708628292118907,0.20524118043412398,45,False
