model,feature,train_lang,layer,rep,fold,within,cross,gap,within_norm,cross_norm,gap_norm
xlsr53,manner,en_us,16,0,0,0.786466988355379,0.5398286114242484,0.24663837693113055,0.7626785628795945,0.4916017228330986,0.27107684004649585
xlsr53,manner,en_us,16,0,1,0.8803357489467487,0.5534169301304952,0.3269188188162535,0.8682735598400698,0.5066141247149974,0.36165943512507237
xlsr53,manner,en_us,16,0,2,0.8120685465811357,0.5575702554558045,0.2544982911253312,0.7919782312745736,0.5112027269017528,0.28077550437282073
xlsr53,manner,en_us,16,0,3,0.8553704374301792,0.5465178293386048,0.30885260809157433,0.839629144118294,0.49899198426108166,0.3406371598572124
xlsr53,manner,en_us,16,0,4,0.867866194829992,0.5552231073832383,0.31264308744675373,0.8533464230851462,0.5086095929825808,0.3447368301025654
xlsr53,manner,en_us,16,1,0,0.825600246877529,0.5399934855941868,0.28560676128334217,0.8069459235708017,0.49178387614820457,0.3151620474225972
xlsr53,manner,en_us,16,1,1,0.8552413868012099,0.5423957116789209,0.312845675122289,0.8405395184996769,0.4944378603661807,0.3461016581334962
xlsr53,manner,en_us,16,1,2,0.8428917367998381,0.5556474200203325,0.28724431677950557,0.8249206265045366,0.5090783744388693,0.3158422520656673
xlsr53,manner,en_us,16,1,3,0.870495551072368,0.5516113232911628,0.3188842277812052,0.856828733729774,0.5046192866412995,0.35220944708847446
xlsr53,manner,en_us,16,1,4,0.8353631292917421,0.549677494633539,0.28568563465820307,0.8174228164735748,0.5024827888444355,0.3149400276291393
xlsr53,manner,en_us,16,2,0,0.8580847401931464,0.5489304665412178,0.3091542736519286,0.8430852034535733,0.5016574707030648,0.34142773275050853
xlsr53,manner,en_us,16,2,1,0.8393255874362711,0.5733828081866887,0.2659427792495823,0.8234505706260823,0.5286724670150474,0.29477810361103485
xlsr53,manner,en_us,16,2,2,0.8341077808548347,0.5460687352127553,0.2880390456420794,0.8157052057826172,0.4984958241660912,0.317209381616526
xlsr53,manner,en_us,16,2,3,0.8407739443524724,0.5485773805737756,0.29219656377869685,0.8227926058259922,0.5012673806149022,0.32152522521109006
xlsr53,manner,en_us,16,2,4,0.8422030445027353,0.5389828856534606,0.30322015884927467,0.8247606124384715,0.49066736329772004,0.3340932491407515
xlsr53,manner,de_de,16,0,0,0.7389035624744944,0.5259356342986463,0.2129679281758481,0.7113923423790183,0.4824635835618675,0.22892875881715075
xlsr53,manner,de_de,16,0,1,0.7234068317749595,0.5022321030617813,0.22117472871317811,0.6932446997411383,0.4565864210902538,0.2366582786508845
xlsr53,manner,de_de,16,0,2,0.7436963607300519,0.5364886563482905,0.2072077043817614,0.7159180601849432,0.4939843254891485,0.2219337346957947
xlsr53,manner,de_de,16,0,3,0.7203945431256079,0.5170656874769881,0.2033288556486198,0.6899094507236297,0.4727802560979137,0.21712919462571606
xlsr53,manner,de_de,16,0,4,0.7225219003276877,0.49530139043233157,0.22722050989535614,0.6928417916162203,0.44902015701912645,0.24382163459709383
xlsr53,manner,de_de,16,1,0,0.7619756683450367,0.5020886476304258,0.2598870207146109,0.7371004162503377,0.45642981069041394,0.2806706055599238
xlsr53,manner,de_de,16,1,1,0.7290890929619505,0.5275103733226407,0.20157871963930973,0.699139143440156,0.48418272731167805,0.214956416128478
xlsr53,manner,de_de,16,1,2,0.7214570018538969,0.5082085143686437,0.21324848748525327,0.6908412843852519,0.46311087370617215,0.2277304106790798
xlsr53,manner,de_de,16,1,3,0.6867263517662451,0.5140856484028637,0.17264070336338133,0.6525984445573226,0.4695269452505856,0.18307149930673705
xlsr53,manner,de_de,16,1,4,0.6774348782322174,0.4937881725507073,0.1836467056815101,0.6435503760860718,0.4473681759456549,0.19618220014041687
xlsr53,manner,de_de,16,2,0,0.7677213915388286,0.5058289377824482,0.2618924537563804,0.7429803767231299,0.4605130881982112,0.2824672885249187
xlsr53,manner,de_de,16,2,1,0.74282266525996,0.5246412165083774,0.21818144875158263,0.7145614196841314,0.48105046670893037,0.23351095297520108
xlsr53,manner,de_de,16,2,2,0.6627940387107184,0.5155240730399131,0.1472699656708053,0.6248513933146823,0.4710972744839872,0.15375411883069512
xlsr53,manner,de_de,16,2,3,0.7501509025599777,0.5215899288347583,0.22856097372521944,0.723589728996492,0.47771937371317147,0.24587035528332052
xlsr53,manner,de_de,16,2,4,0.7511355061857264,0.5199213465940121,0.23121415959171432,0.7255397775778147,0.47589778125466536,0.24964199632314937
xlsr53,manner,es_419,16,0,0,0.6884234280924838,0.4840868950917785,0.2043365330007053,0.6527478375033547,0.43119419077208626,0.22155364673126848
xlsr53,manner,es_419,16,0,1,0.6857180217369714,0.480014803723145,0.2057032180138264,0.6513813017467948,0.4267046183922615,0.22467668335453328
xlsr53,manner,es_419,16,0,2,0.744799554352639,0.49532859120674144,0.24947096314589756,0.7168342151782788,0.44358841374283886,0.27324580143543997
xlsr53,manner,es_419,16,0,3,0.8051330121958189,0.46789487816004594,0.33723813403577296,0.7830461068301794,0.41334212768963235,0.36970397914054703
xlsr53,manner,es_419,16,0,4,0.6654787479261941,0.46496488824598026,0.20051385968021385,0.616412792722241,0.4101117478674407,0.20630104485480033
xlsr53,manner,es_419,16,1,0,0.7598427666829318,0.47417725623274565,0.2856655104501862,0.7336129169466256,0.4202685909050868,0.3133443260415388
xlsr53,manner,es_419,16,1,1,0.7122512515986476,0.4737531811421411,0.23849807045650645,0.6794788659859778,0.4198010385735218,0.25967782741245604
